Thu Apr 26 06:02:28 2018 [5484][1][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Mon May 28 03:37:04 2018 [1624][1][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Mon May 28 03:37:14 2018 [1624][1][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Mon May 28 03:38:21 2018 [1624][1][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Tue Jun  5 07:56:16 2018 [6948][1][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Wed Jun  6 14:05:39 2018 [6948][1][FATAL] Error: Module Accunts does not exist.
Wed Aug  8 02:20:23 2018 [10916][-none-][FATAL] SECURITY: User authentication for admin failed
Wed Aug  8 02:20:26 2018 [10916][-none-][FATAL] FAILED LOGIN:attempts[1], ip[::1], username[admin]
Wed Aug  8 07:51:34 2018 [8904][a9fc924f-07cb-627b-ca47-5b6a561ca69c][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Wed Aug  8 07:55:12 2018 [8904][a9fc924f-07cb-627b-ca47-5b6a561ca69c][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Wed Aug  8 07:56:34 2018 [8904][a9fc924f-07cb-627b-ca47-5b6a561ca69c][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Wed Aug  8 08:00:14 2018 [8904][a9fc924f-07cb-627b-ca47-5b6a561ca69c][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Wed Aug  8 08:04:20 2018 [8904][a9fc924f-07cb-627b-ca47-5b6a561ca69c][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
Wed Aug  8 08:07:26 2018 [8904][a9fc924f-07cb-627b-ca47-5b6a561ca69c][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
08/08/18 07:52:31 [14208][1][FATAL] SugarBean::populateDefaultValues $field_defs should be an array
